Long Name Version,Typeform registration link,PMS,Meta-title,Meta-description,slug,Website,Clinic Name,Display_on_web,link to clinic suburb page,Full Address,City,Suburb,State,Postcode,Email,Phone,nearby1_txt,nearby1_link,nearby2_txt,nearby2_link,nearby3_txt,nearby3_link,nearby4_txt,nearby4_link,About Clinic
Accelerate Physiotherapy,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at Accelerate Physiotherapy, Garran","Book a physiotherapy appointment at Accelerate Physiotherapy, located at Unit 9, 2 Garran Place, Garran ACT 2605. See their availability and book online today.",/clinic/accelerate-physiotherapy-garran,https://www.acceleratephysio.com.au/,Accelerate Physiotherapy,Yes,act/garran-2605,"Unit 9, 2 Garran Place, Garran ACT 2605",Canberra,Garran,ACT,2605,enquiries@physios-online.com,02 6232 4773,O'Malley,act/omalley-2606,Phillip,act/phillip-2606,Woden,act/woden-2606,Hughes,act/hughes-2605,"Accelerate Physiotherapy and their empathetic practitioners take pride in delivering holistic hands-on therapy, focus on finding the root cause to your pain or injury! Located at Unit 9, 2 Garran Place, Accelerate Physiotherapy love treating joint pain, sciatica and pain in the neck from computer work. Accelerate Physiotherapy service Garran, O'Malley, Phillip and Woden. Make an enquiry on 02 6232 4773 straight away!"
TM Physio - Holt,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at TM Physio, Holt","Book a physiotherapy appointment at TM Physio, located at 76 Hardwick Cresent. See their availability and book online today.",/clinic/tm-physio-holt-hardwick-cres,https://www.tmphysio.com.au/,TM Physio,No,act/holt-2615,"76 Hardwick Cresent, Holt ACT 2615",Canberra,Holt,ACT,2615,-,02 6185 1826,Kippax,act/kippax-2615,Higgins,act/higgins-2615,Macgregor,act/macgregor-2615,Latham,act/latham-2615,"TM Physio and their hard-working team of physiotherapists provide individualised physio treatment, helping you feel great soon! Located at 76 Hardwick Cresent, TM Physio mostly treat wrist pain, plantar fasciitis and sports injuries. TM Physio service Holt, Kippax, Higgins and Macgregor. Don't delay, book an appointment on 02 6185 1826 pronto!"
TM Physio,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at TM Physio, Holt","Book a physiotherapy appointment at TM Physio, located at 2 Luke Street. See their availability and book online today.",/clinic/tm-physio-holt-luke-street,https://www.tmphysio.com.au/,TM Physio,No,act/holt-2615,"2 Luke Street, Holt ACT 2615",Canberra,Holt,ACT,2615,-,02 6254 9889,Kippax,act/kippax-2615,Higgins,act/higgins-2615,Macgregor,act/macgregor-2615,Latham,act/latham-2615,"TM Physio and their exceptional staff provide you with one on one physical therapy, motivated to get you back on track! Located at 2 Luke Street, TM Physio look after foot pain, gluteal tendinopathy and injuries as a result of poor posture. TM Physio service Holt, Kippax, Higgins and Macgregor. Request a time to see their physios on 02 6254 9889 right away!"
CSportR - Kingston,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at CSportR, Kingston","Book a physiotherapy appointment at CSportR, located at 55 Wentworth Avenue, Kingston ACT 2604. See their availability and book online today.",/clinic/csportr-kingston,https://csportr.com.au/,CSportR,No,act/kingston-2604,"55 Wentworth Avenue, Kingston ACT 2604",Canberra,Kingston,ACT,2604,info@csportr.com.au,02 6162 0999,Barton,act/barton-2600,Causeway,act/causeway-2604,Manuka,act/manuka-2603,Capital Hill,act/capital-hill-2600,"CSportR and their excepetional team of physios take pride in their one on one approach to physio, caring for all of their patients and their individual needs! Located at 55 Wentworth Avenue, Kingston ACT 2604, CSportR team are experts in shoulder issues, sacroiliac joint dysfunction and injuries pertaining to working from home. CSportR service Kingston, Barton, Causeway and Manuka. Enquire on 02 6162 0999 pronto!"
Kingston Physiotherapy,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,Book an appointment at Kingston Physiotherapy,"Book a physiotherapy appointment at Kingston Physiotherapy, located at Shop 4/62 Jardine Street, Kingston ACT 2604. See their availability and book online today.",/clinic/kingston-physiotherapy,https://www.kingstonphysio.com.au/,Kingston Physiotherapy,Yes,act/kingston-2604,"Shop 4/62 Jardine Street, Kingston ACT 2604",Canberra,Kingston,ACT,2604,,02 6260 8244,Barton,act/barton-2600,Causeway,act/causeway-2604,Manuka,act/manuka-2603,Capital Hill,act/capital-hill-2600,"Kingston Physiotherapy and their devoted practitioners take a holistic approach to physiotherapy, helping you regain independence and be pain-free once more! Located at Shop 4/62 Jardine Street, Kingston ACT 2604, Kingston Physiotherapy work with patients suffering from hand pain, achilles tendinopathy and injuries pertaining to working from home. Kingston Physiotherapy service Kingston, Barton, Causeway and Manuka. Contact them to make a time on 02 6260 8244 today!"
Powerhouse Physio,https://localphysionetwork.typeform.com/to/atik1SPB#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Cliniko,"Book an appointment at Powerhouse Physio, Lyneham","Book a physiotherapy appointment at Powerhouse Physio, located at 196 Mouat Street, Lyneham ACT 2602. See their availability and book online today.",/clinic/powerhouse-physio,https://www.powerhousephysio.com.au/,Powerhouse Physio,Yes,act/lyneham-2602,"196 Mouat Street, Lyneham ACT 2602",Canberra,Lyneham,ACT,2602,admin@powerhousephysio.com.au,02 6262 5740,Dickson,act/dickson-2602,O'Connor,act/oconnor-2602,Downer,act/downer-2602,Ainslie,act/ainslie-2602,"Powerhouse Physio and their exceptional physiotherapists deliver holistic patient treatment, helping you get back on your feet! Located at 196 Mouat Street, Lyneham ACT 2602, Powerhouse Physio are experts in back pain, achilles tendinopathy and tennis elbow from overuse. Powerhouse Physio service Lyneham, Dickson, O'Connor and Downer. Make a time with their professional physiotherapists on 02 6262 5740 straight away!"
PhysioSport,https://localphysionetwork.typeform.com/to/atik1SPB#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Cliniko,"Book an appointment at PhysioSport, O'Connor","Book a physiotherapy appointment at PhysioSport, located at 41A David Street, O’Connor ACT 2602. See their availability and book online today.",/clinic/physiosport,https://www.physiosport.com.au/,PhysioSport,Yes,act/oconnor-2602,"41A David Street, O’Connor ACT 2602",Canberra,O'Connor,ACT,2602,admin@physiosport.com.au,02 6247 0912,Turner,act/turner-2612,Braddon,act/braddon-2612,Lyneham,act/lyneham-2602,Ainslie,act/ainslie-2602,"PhysioSport and their professional physical therapists provide individualised physio treatment, giving patients the care they deserve, and need! Located at 41A David Street, O’Connor ACT 2602, PhysioSport are experts in wrist pain, corked thighs and injuries sustained from long hours at work. PhysioSport service O'Connor, Turner, Braddon and Lyneham. Make a time with their professional physiotherapists on 02 6247 0912 asap!"
Performance Edge Physiotherapy,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at Performance Edge Physiotherapy, Tuggeranong","Book a physiotherapy appointment at Performance Edge Physiotherapy, located at 15/150 Soward Way, Tuggeranong ACT 2900. See their availability and book online today.",/clinic/performance-edge-physiotherapy-tuggeranong,https://www.pephysio.net.au/,Performance Edge Physiotherapy,Yes,act/tuggeranong-2900,"15/150 Soward Way, Tuggeranong ACT 2900",Canberra,Tuggeranong,ACT,2900,admin_pephysio@iinet.net.au,02 6293 4355,Greenway,act/greenway-2900,Oxley,act/oxley-2903,Monash,act/monash-2904,Bonython,act/bonython-2905,"Performance Edge Physiotherapy and their experienced team take pride in delivering holistic manual therapy, helping you get back on your feet! Located at 15/150 Soward Way, Tuggeranong ACT 2900, Performance Edge Physiotherapy predominantly treat hip issues, tendinopathy and injuries sustained working from home. Performance Edge Physiotherapy service Tuggeranong, Greenway, Oxley and Monash. Make a time on 02 6293 4355 today!"
CSportR - Turner,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at CSportR, Turner","Book a physiotherapy appointment at CSportR, located at Suite 8/5 McKay Gardens, Turner ACT 2612. See their availability and book online today.",/clinic/csportr-turner,https://csportr.com.au/,CSportR,Yes,act/turner-2612,"Suite 8/5 McKay Gardens, Turner ACT 2612",Canberra,Turner,ACT,2612,turner@csportr.com.au,02 6247 7033,Braddon,act/braddon-2612,Oconnor,act/oconnor-2602,Acton,act/acton-2601,Reid,act/reid-2612,"CSportR and their caring staff take an individualised approach to physical therapy, giving patients the care they deserve, and need! Located at Suite 8/5 McKay Gardens, Turner ACT 2612, CSportR team are great at treating neck pain, labral hip tears and injuries as a result of poor posture. CSportR service Turner, Braddon, Oconnor and Acton. Contact them to make a time on 02 6247 7033 right now!"
SportsCare and Physiotherapy - Weston,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at SportsCare and Physiotherapy, Weston","Book a physiotherapy appointment at SportsCare and Physiotherapy, located at 16/41-43 Liardet Street, Weston ACT 2611. See their availability and book online today.",/clinic/sportscare-and-physiotherapy-weston,https://www.sportscarephysio.com.au/,SportsCare and Physiotherapy,Yes,act/weston-2611,"16/41-43 Liardet Street, Weston ACT 2611",Canberra,Weston,ACT,2611,barton@sportscarephysio.com.au,02 6288 3006,Holder,act/holder-2611,Stirling,act/stirling-2611,Waramanga,act/waramanga-2611,Rivett,act/rivett-2611,"SportsCare and Physiotherapy and their exceptional physiotherapists take pride in their one on one approach to treatment, attending to your needs! Located at 16/41-43 Liardet Street, Weston ACT 2611, SportsCare and Physiotherapy are experts in hip pain, frozen shoulders and tennis elbow from overuse. SportsCare and Physiotherapy service Weston, Holder, Stirling and Waramanga. Don't delay, call their physiotherapy team on 02 6288 3006 immediately!"
Physio Science,https://localphysionetwork.typeform.com/to/atik1SPB#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Cliniko,"Book an appointment at Physio Science, Abbotsford","Book a physiotherapy appointment at Physio Science, located at 2/569 Great N Road, Abbotsford NSW 2046. See their availability and book online today.",/clinic/physio-science-abbotsford,https://physio-science.com.au/,Physio Science,No,nsw/abbotsford-2046,"2/569 Great N Road, Abbotsford NSW 2046",Sydney,Abbotsford,NSW,2046,info@physio-science.com.au,02 9712 1242,Wareemba,nsw/wareemba-2046,Canada Bay,nsw/canada-bay-2046,Haberfield,nsw/haberfield-2045,Rodd Point,nsw/rodd-point-2046,"Physio Science and their committed team take a holistic approach to patient treatment, allowing you to break free from pain, and get back to doing what you love! Located at 2/569 Great N Road, Abbotsford NSW 2046, Physio Science staff mostly work on hand pain, piriformis sydnrome and sporting injuries. Physio Science service Abbotsford, Wareemba, Canada Bay and Haberfield. Make an enquiry on 02 9712 1242 immediately!"
Enhance Physio - Albury,https://localphysionetwork.typeform.com/to/atik1SPB#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Cliniko,"Book an appointment at Enhance Physio, Albury","Book a physiotherapy appointment at Enhance Physio, located at 2/550 Smollett Street, Albury NSW 2640. See their availability and book online today.",/clinic/enhance-physio-albury,https://enhancephysiotherapyaw.com.au/,Enhance Physio,Yes,nsw/albury-2640,"2/550 Smollett Street, Albury NSW 2640",Albury,Albury,NSW,2640,admin@enhancephysiotherapyaw.com.au,02 6041 3609,Glenroy,nsw/glenroy-2640,South Albury,nsw/south-albury-2640,East Albury,nsw/east-albury-2640,North Albury,nsw/north-albury-2640,"Enhance Physio and their committed staff deliver tailored manual therapy, understanding their responsibility to all pattients! Located at 2/550 Smollett Street, Albury NSW 2640, Enhance Physio physios are experts in dealing with ankle pain, wry neck and sports injuries. Enhance Physio service Albury, Glenroy, South Albury and East Albury. Contact their physiotherapy clinic to book an appointment on 02 6041 3609 pronto!"
Erko Physio,https://localphysionetwork.typeform.com/to/atik1SPB#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Cliniko,"Book an appointment at Erko Physio, Alexandria","Book a physiotherapy appointment at Erko Physio, located at 154 Henderson Road, Alexandria NSW 2015. See their availability and book online today.",/clinic/erko-physio,https://www.erkophysio.com/,Erko Physio,No,nsw/alexandria-2015,"154 Henderson Road, Alexandria NSW 2015",Sydney,Alexandria,NSW,2015,admin@erkophysio.com,02 9557 9272,Beaconsfield,nsw/beaconsfield-2015,Erskineville,nsw/erskineville-2043,Enmore,nsw/enmore-2042,Eveleigh,nsw/eveleigh-2015,"Erko Physio and their professional team deliver tailored hands-on therapy, helping you reduce pain, and regain your independence! Located at 154 Henderson Road, Alexandria NSW 2015, Erko Physio team are experts in hip pain, rolled ankles and tennis elbow from overuse. Erko Physio service Alexandria, Beaconsfield, Erskineville and Enmore. Contact them to make a time on 02 9557 9272 straight away!"
Move Physio Pilates,https://localphysionetwork.typeform.com/to/svyBrmzR#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Nookal,"Book an appointment at Move Physio Pilates, Alexandria","Book a physiotherapy appointment at Move Physio Pilates, located at Unit 23, 30 Maddox Street, Alexandria NSW 2015. See their availability and book online today.",/clinic/move-physio-pilates,http://movephysiopilates.com/,Move Physio Pilates,No,nsw/alexandria-2015,"Unit 23, 30 Maddox Street, Alexandria NSW 2015",Sydney,Alexandria,NSW,2015,info@movephysiopilates.com,02 9565 5363,Beaconsfield,nsw/beaconsfield-2015,Erskineville,nsw/erskineville-2043,Enmore,nsw/enmore-2042,Eveleigh,nsw/eveleigh-2015,"Move Physio Pilates and their caring physiotherapists deliver one on one physical therapy, helping you get back on your feet! Located at Unit 23, 30 Maddox Street, Alexandria NSW 2015, Move Physio Pilates are experts in joint pain, tendinopathy and issues relating to a poor ergonomic setup. Move Physio Pilates service Alexandria, Beaconsfield, Erskineville and Enmore. Contact their physiotherapy clinic to book an appointment on 02 9565 5363 today!"
Yves Silveira Physiotherapy,https://localphysionetwork.typeform.com/to/atik1SPB#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Cliniko,"Book an appointment at Yves Silveira Physiotherapy, Alexandria","Book a physiotherapy appointment at Yves Silveira Physiotherapy, located at 668 Botany Road, Alexandria NSW 2015. See their availability and book online today.",/clinic/yves-silveira-physiotherapy,https://physioyves.com/,Yves Silveira Physiotherapy,Yes,nsw/alexandria-2015,"668 Botany Road, Alexandria NSW 2015",Sydney,Alexandria,NSW,2015,info@physioyves.com,02 8080 8088,Beaconsfield,nsw/beaconsfield-2015,Erskineville,nsw/erskineville-2043,Enmore,nsw/enmore-2042,Eveleigh,nsw/eveleigh-2015,"Yves Silveira Physiotherapy and their experienced practitioners provide a bespoke approach to physio treatment, helping you regain independence and be pain-free once more! Located at 668 Botany Road, Alexandria NSW 2015, Yves Silveira Physiotherapy work with patients suffering from foot pain, frozen shoulders and sports injuries. Yves Silveira Physiotherapy service Alexandria, Beaconsfield, Erskineville and Enmore. Book a physio appointment on 02 8080 8088 now!"
Lift Physiotherapy and Performance,https://localphysionetwork.typeform.com/to/atik1SPB#clinic_name_short=xxxxx&clinic_address_short=xxxxx,Cliniko,Book an appointment at Lift Physiotherapy and Performance.,"Book a physiotherapy appointment at Lift Physiotherapy and Performance, located at Shop 3, 62-64 Coachwood Crescent, Alfords Point NSW 2234. See their availability and book online today.",/clinic/lift-physiotherapy-and-performance,https://www.liftphysio.com.au/,Lift Physiotherapy and Performance,Yes,nsw/alfords-point-2234,"Shop 3, 62-64 Coachwood Crescent, Alfords Point NSW 2234",Sydney,Alfords Point,NSW,2234,info@liftphysio.com.au,02 8319 9348,Illawong,nsw/illawong-2234,Menai,nsw/menai-2234,Menai Central,nsw/menai-central-2234,Bangor,nsw/bangor-2234,"Lift Physiotherapy and Performance and their devoted practitioners take pride in their approach to manual therapy, understanding their responsibility to all pattients! Located at Shop 3, 62-64 Coachwood Crescent, Alfords Point NSW 2234, Lift Physiotherapy and Performance predominantly treat shoulder pain, achilles tendinopathy and overuse injuries. Lift Physiotherapy and Performance service Alfords Point, Illawong, Menai and Menai Central. Enquire on 02 8319 9348 immediately!"
